clip	phoneme	word	mid	site_f0	site_f1	site_f2	site_f3	site_res	trk_p	trk_f1	trk_f2	trk_f3
aiden	IH1	if	0.6599999999999999	146.88	462.43	2344.68	2959.66	0.59859	109.7967	427.796	2337.42	2892.8050000000003
aiden	UW1	you	0.865	133.46	328.54	2273.81	2672.27	0.529	141.411	318.353	2355.11	2721.13
aiden	T	talk	1.105		723.1	1826.74	2862.75	0.63377	128.31	251.659	1741.04	2874.35
aiden	AO1	talk	1.2149999999999999	128.7	767.58	1199.08	2579.63	0.78359	130.3655	743.0805	1265.9099999999999	2721.79
aiden	TH	with	1.44		793.07	1694.05	2647.01	1.0	139.313	487.102	1609.06	2690.52
aiden	D	crowds	1.9100000000000001	115.73	260.72	1620.6	2684.07	0.33432	117.796	991.2515000000001	2124.185	3202.915
aiden	IY1	keep	2.27	124.96	345.55	2296.83	2650.3	0.48074	127.84100000000001	344.572	2506.7	2976.35
aiden	R	your	2.46	113.6	453.28	1401.83	1971.42	0.43659	116.914	475.2795	1682.05	2237.91
aiden	UW0	virtue	2.935	99.04	442.51	1453.62	2622.86	0.6057	128.749	338.8495	1883.94	2672.8050000000003
aiden	ER0	or	3.29		577.96	1272.6	2130.44	0.51481	132.761	616.889	1343.93	2093.98
aiden	W	walk	3.385	125.01	390.39	1134.73	2251.78	0.45387	123.39250000000001	423.474	1148.45	2334.53
aiden	AO1	walk	3.465	121.43	734.52	1192.75	2600.19	0.72972	123.846	773.783	1179.53	2660.53
aiden	IH1	with	3.64	129.63	425.05	1735.64	2694.24	0.35354	147.4085	391.3795	1603.895	2726.62
aiden	L	lose	4.58	121.57	544.49	1216.43	2222.8	0.56833	122.635	395.873	1444.59	2659.02
aiden	UW1	lose	4.795	134.29	348.89	1853.56	2748.59	0.47155	134.11	328.443	1839.435	2763.125
aiden	Z	lose	4.88		477.27	1871.28	2537.85	0.40733	127.06649999999999	299.06	1745.85	2790.125
aiden	AA1	common	5.15	118.18	812.54	1447.48	2556.33	0.84505	119.3365	745.698	1460.68	2871.37
aiden	M	common	5.225	118.87	276.71	1572.3	2483.33	0.41253	118.6465	266.567	1401.23	2611.17
aiden	AH0	common	5.275	117.03	511.01	1723.28	2859.4	0.62604	118.498	378.515	1639.345	2707.995
aiden	N	common	5.324999999999999	117.64	306.97	1888.88	3083.76	0.4368	117.61	261.97	1731.28	2578.35
aiden	T	touch	5.41		677.43	1946.83	2881.19	0.62944	116.0425	772.8195000000001	2207.09	3166.235
aiden	AH1	touch	5.545		729.03	1465.96	1957.47	0.8771	118.31649999999999	735.526	1470.49	2795.35
aiden	N	neither	6.475	124.1	288.27	1632.29	2131.67	0.35473	127.824	258.6375	1954.875	3065.685
aiden	AY1	neither	6.574999999999999	115.19	801.99	1763.13	2587.89	1.0	115.319	712.2584999999999	1810.92	2689.605
aiden	DH	neither	6.654999999999999		432.53	1904.32	2702.16	0.62528	128.209	434.2735	1902.23	2659.12
aiden	ER0	neither	6.73	108.87	534.17	1634.96	1975.04	0.684	108.72	535.38	1784.06	2543.71
aiden	OW1	foes	7.01	134.94	527.84	1472.49	2600.17	0.577	137.006	511.23699999999997	1580.7399999999998	2727.2650000000003
aiden	Z	foes	7.155	146.49	1149.79	2117.95	2950.2	0.74346	136.8005	769.9585	1889.97	3546.965
aiden	R	nor	7.305	119.33	544.38	1537.71	2371.3	0.62683	119.235	500.188	1677.92	2524.29
aiden	L	loving	7.37	120.52	315.73	1138.4	2664.89	0.17651	117.892	315.9805	1235.42	2760.91
aiden	AH1	loving	7.4399999999999995	120.67	711.0	1359.78	2800.18	0.79835	121.075	702.226	1407.7	2899.01
aiden	IH0	loving	7.535	124.54	385.45	2369.03	2909.0	0.57816	124.527	342.9955	2045.355	2797.2749999999996
aiden	NG	loving	7.605	119.98	279.41	1197.08	2479.82	0.27985	121.029	247.594	1914.48	2594.83
aiden	EH1	friends	7.8149999999999995	119.1	685.08	1727.49	2871.19	0.71392	121.471	600.6645000000001	1734.8049999999998	2676.71
aiden	N	friends	7.895	116.88	283.66	1804.49	2801.79	0.38389	117.436	260.698	1770.17	2760.935
aiden	Z	friends	7.98		480.16	1883.84	2575.65	0.63427	116.73349999999999	1031.646	2127.425	3379.925
aiden	HH	hurt	8.190000000000001		767.29	1764.29	2239.74	0.70367	114.457	461.116	1806.63	2298.59
aiden	UW1	you	8.635	138.48	421.63	1385.9	2788.66	0.49672	136.4625	405.21299999999997	1723.84	2719.72
aiden	IH1	if	9.25	140.43	477.79	2316.2	2440.4	0.62945	130.8735	546.7660000000001	2198.3450000000003	2894.25
aiden	F	if	9.379999999999999		542.07	1995.75	2840.78	0.40758	115.767	429.26800000000003	1901.82	2792.745
aiden	AO1	all	9.51		697.67	1053.73	2784.34	0.62127	138.968	726.2525	2685.3149999999996	3523.84
aiden	L	all	9.635	141.75	509.95	1026.07	2891.08	0.4601	137.157	572.965	1993.42	3293.535
aiden	M	men	9.705	140.65	246.41	1519.44	2478.72	0.34897	141.3275	209.732	1376.63	2596.67
aiden	EH1	men	9.765	131.55	543.35	1984.34	2960.86	0.50915	135.12	379.428	1829.37	2937.64
aiden	N	men	9.835	127.49	273.83	1384.82	2263.86	0.28102	127.511	248.742	1560.295	2459.525
aiden	N	count	10.145	114.91	385.99	1029.36	2229.15	0.3759	122.654	1083.48	2366.31	3704.16
aiden	T	count	10.190000000000001		525.85	1321.92	2578.12	0.39052	118.09899999999999	435.65250000000003	1279.32	2532.5
aiden	IH1	with	10.275	135.56	356.96	1713.0	2728.73	0.17946	136.895	293.869	1442.595	2693.56
aiden	DH	with	10.325		190.75	1797.18	2634.65	0.29064	129.485	1435.23	2577.6	3652.46
aiden	UW1	you	10.59	136.81	346.63	1226.88	2618.59	0.32787	130.977	379.881	1722.37	2638.96
aiden	N	none	11.07	126.71	264.08	1823.93	2907.63	0.35838	126.265	234.8815	1613.955	2683.8450000000003
aiden	AH1	none	11.149999999999999	121.06	659.18	1534.24	2901.86	0.77205	122.334	577.9300000000001	1573.49	2867.26
aiden	N	none	11.235	118.55	282.93	1899.29	3005.87	0.40266	119.854	255.8485	1693.025	2790.705
aiden	T	too	11.335		613.62	2153.6	3002.06	0.63196	118.226	536.0535	2079.85	2918.965
aiden	UW1	too	11.435	116.77	330.32	1736.62	2645.42	0.41246	117.796	278.347	1948.6799999999998	2695.1499999999996
aiden	M	much	11.52	113.95	1330.72	2496.83	3336.85	1.0	113.908	226.6895	1454.4499999999998	2557.97
aiden	AH1	much	11.65	115.42	731.04	1485.62	2714.1	0.88914	114.578	662.514	1435.69	2728.34
aiden	F	if	12.725		640.95	2320.27	3028.11	0.52982	119.777	336.571	2271.07	2951.03
aiden	UW1	you	12.844999999999999	113.58	322.26	2106.77	2587.38	0.4806	120.76650000000001	291.276	2301.54	2782.81
aiden	N	can	13.0	108.91	302.58	1885.92	2746.02	0.42954	109.465	248.0575	1805.795	2663.395
aiden	IH1	fill	13.245000000000001	146.53	528.9	1575.2	2876.23	0.57022	147.136	482.694	1578.87	2825.4449999999997
aiden	L	fill	13.395	142.27	515.98	984.18	2845.96	0.45836	142.709	542.2784999999999	1155.42	2834.99
aiden	AH0	unforgiving	13.705	131.33	734.86	1647.29	2649.56	0.95044	126.343	627.628	1753.19	2725.45
aiden	N	unforgiving	13.82	124.33	269.37	1388.01	1960.28	0.27496	123.8655	253.139	1639.9	2718.415
aiden	ER0	unforgiving	13.985	128.98	386.29	1606.65	2004.18	0.36811	129.00549999999998	384.943	1698.1	2328.21
aiden	G	unforgiving	14.05	115.88	300.42	1534.17	2710.37	0.34854	115.606	281.511	1918.98	2472.35
aiden	IH1	unforgiving	14.11	120.13	433.61	2220.13	2739.52	0.4961	125.26599999999999	419.56	2396.34	2916.9
aiden	V	unforgiving	14.165		287.38	2020.82	2590.88	0.42568	111.84700000000001	256.467	2010.65	2573.52
aiden	IH0	unforgiving	14.21	124.31	338.73	2385.26	2652.95	0.49049	122.059	250.83749999999998	2193.075	2880.7200000000003
aiden	NG	unforgiving	14.280000000000001	112.66	246.66	1305.29	2333.78	0.24256	112.65	241.733	1632.89	2577.88
aiden	M	minute	14.36	112.43	276.12	1852.12	2681.26	0.47891	112.755	243.956	1730.79	2534.58
aiden	IH1	minute	14.425	112.89	576.84	2018.53	2864.34	0.79988	113.71000000000001	464.758	1995.76	2947.62
aiden	N	minute	14.48	114.31	303.51	1838.8	2966.17	0.42107	110.997	473.987	1951.505	2974.135
aiden	AH0	minute	14.58	117.71	629.87	1882.16	2710.25	0.8428	116.2585	560.059	1901.2350000000001	2942.61
aiden	IH1	with	15.030000000000001	123.37	408.87	1925.21	2714.1	0.36101	125.358	374.564	1699.38	2711.97
aiden	TH	with	15.105		1173.37	2197.17	3236.99	1.0	115.6045	581.762	1922.4	2723.84
aiden	IH1	sixty	15.25	125.12	489.53	1977.6	2631.13	0.57366	126.957	467.769	1922.3	2780.57
aiden	K	sixty	15.315		513.74	1902.71	2539.69	0.41138	306.499	461.5685	1752.8449999999998	2657.8199999999997
aiden	V	of	16.53	112.96	252.01	1608.46	2665.25	0.31307	112.838	368.0	1570.73	2713.45
aiden	D	distance	16.59		366.21	2287.6	2728.82	0.58697	118.68350000000001	215.323	1576.96	2637.73
aiden	IH1	distance	16.655	117.94	486.31	1864.63	2850.2	0.5374	121.3455	463.868	1932.165	2892.42
aiden	S	distance	16.725		939.24	1918.91	3002.9	0.48067	114.756	657.951	1871.47	2997.98
aiden	AH0	distance	16.865	113.09	623.33	1692.13	3063.86	0.79037	115.7945	319.48	1682.53	3051.74
aiden	R	run	17.095	123.65	478.85	1404.03	2004.64	0.47796	136.95499999999998	493.938	1530.475	2633.375
aiden	AH1	run	17.185		744.46	1471.81	2752.04	0.90903	104.23685	719.909	1525.14	2795.92
aiden	Z	yours	18.23		871.77	1919.39	2750.97	0.58982	151.184	381.823	1874.03	2848.87
aiden	IH0	is	18.32		366.45	1859.39	2843.4	0.23961	147.47545	365.603	1810.63	2809.1
aiden	IY0	the	18.52		333.41	2479.82	2828.3	0.52423	76.33760000000001	301.725	2382.96	2860.19
aiden	TH	earth	18.825000000000003		613.4	1862.28	2664.67	0.52268	123.8425	455.969	1780.67	2772.29
aiden	N	and	19.174999999999997	121.75	546.23	1945.3	2886.22	0.81006	127.872	565.1465000000001	1993.6950000000002	2813.17
aiden	D	and	19.225		282.79	1777.38	2760.43	0.39064	120.97200000000001	270.696	1807.33	2824.8
aiden	V	everything	19.354999999999997	111.67	717.72	1587.04	2380.77	0.63509	120.9	992.377	1795.935	2859.75
aiden	R	everything	19.4		354.0	1452.15	2208.98	0.29559	128.649	958.0965	2173.84	3132.4849999999997
aiden	IY0	everything	19.450000000000003	118.16	300.86	2594.66	2793.47	0.32228	123.869	305.173	1958.84	2516.4
aiden	NG	everything	19.630000000000003	126.51	261.93	1702.47	2545.65	0.33942	126.472	250.27800000000002	1962.77	2590.59
aiden	T	that's	19.775		390.03	1747.37	2706.01	0.39266	117.4385	308.4205	1772.1599999999999	2798.3
aiden	IH1	in	19.915	121.24	604.63	1951.95	2741.77	0.9169	99.63759999999999	508.96000000000004	1879.74	2992.99
aiden	N	in	19.97	107.02	326.68	1822.9	2956.5	0.45274	110.0415	387.046	1837.3449999999998	2842.325
