clip	phoneme	word	mid	site_f0	site_f1	site_f2	site_f3	site_res	trk_p	trk_f1	trk_f2	trk_f3
aiden	IH1	if	0.6599999999999999	146.88	462.43	2344.68	2959.66	0.59859	145.922	439.975	2325.67	2881.31
aiden	F	if	0.76		545.4	2238.02	2850.99	0.46215	123.25399999999999	397.331	2334.17	2839.21
aiden	UW1	you	0.865	133.46	328.54	2273.81	2672.27	0.529	138.669	314.579	2459.47	3176.37
aiden	K	can	0.915		414.08	2244.13	2645.21	0.44244	130.266	337.413	2139.0	2650.99
aiden	T	talk	1.105		723.1	1826.74	2862.75	0.63377	128.50050000000002	765.3599999999999	1796.685	2873.625
aiden	AO1	talk	1.2149999999999999	128.7	767.58	1199.08	2579.63	0.78359	130.373	804.4549999999999	1543.065	2784.52
aiden	TH	with	1.44		793.07	1694.05	2647.01	1.0	154.286	385.824	1587.16	2661.35
aiden	D	crowds	1.9100000000000001	115.73	260.72	1620.6	2684.07	0.33432	118.662	357.69100000000003	1631.76	2748.56
aiden	D	and	2.12	125.42	180.83	1131.83	2580.82	0.14626	142.485	1990.995	2852.77	4100.66
aiden	UW0	virtue	2.935	99.04	442.51	1453.62	2622.86	0.6057	129.488	377.9115	2078.65	2685.175
aiden	ER0	or	3.29		577.96	1272.6	2130.44	0.51481	138.5765	615.164	1371.33	2109.13
aiden	W	walk	3.385	125.01	390.39	1134.73	2251.78	0.45387	125.054	596.302	1315.9	2327.7
aiden	AO1	walk	3.465	121.43	734.52	1192.75	2600.19	0.72972	124.29499999999999	673.8145	1184.7849999999999	2649.7250000000004
aiden	TH	with	3.705		523.01	1671.18	2280.76	0.6864	127.9855	426.657	1702.25	2701.88
aiden	L	lose	4.58	121.57	544.49	1216.43	2222.8	0.56833	122.525	421.134	1313.0900000000001	2704.92
aiden	UW1	lose	4.795	134.29	348.89	1853.56	2748.59	0.47155	133.921	339.475	1804.45	2755.97
aiden	Z	lose	4.88		477.27	1871.28	2537.85	0.40733	128.4245	339.475	1810.7	2757.51
aiden	AA1	common	5.15	118.18	812.54	1447.48	2556.33	0.84505	128.412	760.159	1472.1399999999999	2804.23
aiden	M	common	5.225	118.87	276.71	1572.3	2483.33	0.41253	118.617	604.035	1414.67	2829.71
aiden	AH0	common	5.275	117.03	511.01	1723.28	2859.4	0.62604	119.069	313.302	1668.88	2642.13
aiden	N	common	5.324999999999999	117.64	306.97	1888.88	3083.76	0.4368	116.737	345.8095	1791.75	2952.84
aiden	T	touch	5.41		677.43	1946.83	2881.19	0.62944	116.64	646.5450000000001	2030.9499999999998	2958.735
aiden	AH1	touch	5.545		729.03	1465.96	1957.47	0.8771	125.884	729.755	1477.545	2826.77
aiden	F	if	6.404999999999999		494.93	2090.41	2829.72	0.4037	127.84	438.059	2174.77	2864.88
aiden	N	neither	6.475	124.1	288.27	1632.29	2131.67	0.35473	134.411	270.752	1884.35	2671.72
aiden	AY1	neither	6.574999999999999	115.19	801.99	1763.13	2587.89	1.0	115.4785	727.424	1825.135	2686.41
aiden	DH	neither	6.654999999999999		432.53	1904.32	2702.16	0.62528	108.25800000000001	568.595	1933.4	2646.78
aiden	ER0	neither	6.73	108.87	534.17	1634.96	1975.04	0.684	117.191	526.2715	1811.165	2402.1099999999997
aiden	OW1	foes	7.01	134.94	527.84	1472.49	2600.17	0.577	136.932	525.757	1545.03	2741.48
aiden	Z	foes	7.155	146.49	1149.79	2117.95	2950.2	0.74346	136.8605	390.283	1766.61	2808.26
aiden	AO1	nor	7.265000000000001	119.97	512.06	1763.61	2659.08	0.59209	142.75549999999998	273.02599999999995	1853.535	3104.285
aiden	R	nor	7.305	119.33	544.38	1537.71	2371.3	0.62683	119.316	441.4845	1741.63	2544.45
aiden	L	loving	7.37	120.52	315.73	1138.4	2664.89	0.17651	118.407	468.7395	1525.65	2710.2650000000003
aiden	AH1	loving	7.4399999999999995	120.67	711.0	1359.78	2800.18	0.79835	120.669	635.872	1230.43	2842.22
aiden	V	loving	7.484999999999999	117.19	488.42	1536.73	2796.48	0.46358	120.251	653.5235	1419.935	2844.105
aiden	IH0	loving	7.535	124.54	385.45	2369.03	2909.0	0.57816	124.909	403.793	1740.495	2796.9049999999997
aiden	NG	loving	7.605	119.98	279.41	1197.08	2479.82	0.27985	123.626	269.67900000000003	2312.46	2626.37
aiden	EH1	friends	7.8149999999999995	119.1	685.08	1727.49	2871.19	0.71392	121.454	641.302	1742.36	2561.71
aiden	N	friends	7.895	116.88	283.66	1804.49	2801.79	0.38389	118.378	256.817	1743.88	2773.09
aiden	Z	friends	7.98		480.16	1883.84	2575.65	0.63427	117.514	972.4870000000001	2088.6949999999997	3355.6499999999996
aiden	HH	hurt	8.190000000000001		767.29	1764.29	2239.74	0.70367	115.272	426.81899999999996	1767.5	2672.085
aiden	UW1	you	8.635	138.48	421.63	1385.9	2788.66	0.49672	135.408	384.9125	1719.04	2695.6800000000003
aiden	IH1	if	9.25	140.43	477.79	2316.2	2440.4	0.62945	130.74	514.8225	2192.015	2878.38
aiden	F	if	9.379999999999999		542.07	1995.75	2840.78	0.40758	116.3255	486.546	1951.68	2823.87
aiden	AO1	all	9.51		697.67	1053.73	2784.34	0.62127	368.287	670.387	1992.15	2750.0
aiden	L	all	9.635	141.75	509.95	1026.07	2891.08	0.4601	136.273	729.8335	1719.88	2860.3
aiden	M	men	9.705	140.65	246.41	1519.44	2478.72	0.34897	141.906	222.6515	1293.895	2643.465
aiden	EH1	men	9.765	131.55	543.35	1984.34	2960.86	0.50915	137.339	302.246	1665.54	2923.62
aiden	N	men	9.835	127.49	273.83	1384.82	2263.86	0.28102	128.144	259.449	1593.38	2707.76
aiden	K	count	9.935		584.7	2273.16	2667.65	0.54218	122.5745	773.109	2189.59	2730.33
aiden	N	count	10.145	114.91	385.99	1029.36	2229.15	0.3759	121.112	412.071	1151.89	2512.32
aiden	T	count	10.190000000000001		525.85	1321.92	2578.12	0.39052	126.85300000000001	332.588	1258.5149999999999	2426.2250000000004
aiden	IH1	with	10.275	135.56	356.96	1713.0	2728.73	0.17946	142.222	287.767	1312.51	2649.94
aiden	DH	with	10.325		190.75	1797.18	2634.65	0.29064	129.397	877.5600000000001	2163.965	3196.235
aiden	UW1	you	10.59	136.81	346.63	1226.88	2618.59	0.32787	116.945	360.312	1688.04	2643.68
aiden	N	none	11.07	126.71	264.08	1823.93	2907.63	0.35838	128.2245	245.24200000000002	1688.3	2741.83
